순위,종목명,종목코드,시장,PER,PER점수(/20),PBR,PBR점수(/5),배당수익률(%),배당수익률점수(/10),분기배당,분기배당점수(/5),배당연속인상(년),배당인상점수(/5),자사주비율(%),자사주비율점수(/5),자사주매입소각,매입소각점수(/7),이익_지속가능성(5),중복_상장여부(5),연간_소각비율(8),미래_성장잠재력(10),기업_경영(10),세계적_브랜드(5),정량합계,정성합계,최종점수,메모
168,Weyerhaeuser Company,WY,NYQ,55.3,5,1.90,0,3.4,5,O,5,0,0,0.0,5,O,7,,,,,,,27,=SUM(S169:X169),=Y169+Z169,
169,"Essex Property Trust, Inc.",ESS,NYQ,24.1,5,2.91,0,4.1,5,O,5,1,0,0.0,5,O,7,,,,,,,27,=SUM(S170:X170),=Y170+Z170,
170,Brookfield Infrastructure Partn,BIP,NYQ,21.9,5,-,0,3.5,5,O,5,0,0,0.0,5,O,7,,,,,,,27,=SUM(S171:X171),=Y171+Z171,
171,"Mondelez International, Inc.",MDLZ,NMS,31.1,5,2.95,0,3.3,5,O,5,11,5,35.6,0,O,7,,,,,,,27,=SUM(S172:X172),=Y172+Z172,
172,Brookfield Property Partners L.,BPYPP,NMS,-,0,-,0,10.2,10,O,5,0,0,0.0,5,O,7,,,,,,,27,=SUM(S173:X173),=Y173+Z173,
173,"Automatic Data Processing, Inc.",ADP,NMS,18.7,5,12.41,0,3.2,5,O,5,23,5,36.8,0,O,7,,,,,,,27,=SUM(S174:X174),=Y174+Z174,
174,Invitation Homes Inc.,INVH,NYQ,27.1,5,1.67,0,4.5,5,O,5,1,0,0.0,5,O,7,,,,,,,27,=SUM(S175:X175),=Y175+Z175,
175,Kimco Realty Corporation (HC),KIM,NYQ,26.6,5,1.50,0,4.4,5,O,5,1,0,0.0,5,O,7,,,,,,,27,=SUM(S176:X176),=Y176+Z176,
176,U.S. Bancorp,USB,NYQ,11.6,5,1.34,0,3.6,5,O,5,15,5,26.8,0,O,7,,,,,,,27,=SUM(S177:X177),=Y177+Z177,
177,효성,004800,KOSPI/KOSDAQ,5.9,15,0.93,3,3.3,5,X,0,1,0,0.1,4,X,0,,,,,,,27,=SUM(S178:X178),=Y178+Z178,
178,Marriott International,MAR,NMS,36.6,5,-,0,0.7,2,O,5,3,3,0.0,5,O,7,,,,,,,27,=SUM(S179:X179),=Y179+Z179,
179,Constellation Energy Corporatio,CEG,NMS,37.8,5,6.04,0,0.6,2,O,5,3,3,0.0,5,O,7,,,,,,,27,=SUM(S180:X180),=Y180+Z180,
180,"Host Hotels & Resorts, Inc.",HST,NMS,18.0,5,2.10,0,4.8,5,O,5,1,0,0.0,5,O,7,,,,,,,27,=SUM(S181:X181),=Y181+Z181,
181,Blackstone Inc.,BX,NYQ,30.3,5,10.57,0,4.0,5,O,5,2,0,0.0,5,O,7,,,,,,,27,=SUM(S182:X182),=Y182+Z182,
182,Clorox Company (The),CLX,NYQ,17.4,5,-,0,4.6,5,O,5,38,5,7.5,0,O,7,,,,,,,27,=SUM(S183:X183),=Y183+Z183,
183,"Fidelity National Financial, In",FNF,NYQ,21.4,5,1.74,0,4.1,5,O,5,14,5,18.4,0,O,7,,,,,,,27,=SUM(S184:X184),=Y184+Z184,
184,"Bentley Systems, Incorporated",BSY,NMS,40.0,5,9.35,0,0.8,2,O,5,3,3,0.0,5,O,7,,,,,,,27,=SUM(S185:X185),=Y185+Z185,
185,AT&T Inc.,T,NYQ,8.7,10,1.73,0,4.1,5,O,5,0,0,7.6,0,O,7,,,,,,,27,=SUM(S186:X186),=Y186+Z186,
186,"Crown Holdings, Inc.",CCK,NYQ,16.7,5,4.11,0,1.0,2,O,5,4,3,0.0,5,O,7,,,,,,,27,=SUM(S187:X187),=Y187+Z187,
187,Brookfield Wealth Solutions Ltd,BNT,NYQ,15.3,5,0.67,3,0.4,2,O,5,0,0,0.0,5,O,7,,,,,,,27,=SUM(S188:X188),=Y188+Z188,
188,"Pepsico, Inc.",PEP,NMS,26.2,5,10.58,0,3.6,5,O,5,27,5,26.7,0,O,7,,,,,,,27,=SUM(S189:X189),=Y189+Z189,
189,American Express Company,AXP,NYQ,20.2,5,6.53,0,1.0,2,O,5,4,3,0.0,5,O,7,,,,,,,27,=SUM(S190:X190),=Y190+Z190,
190,GE Aerospace,GE,NYQ,38.1,5,17.74,0,0.5,2,O,5,3,3,0.0,5,O,7,,,,,,,27,=SUM(S191:X191),=Y191+Z191,
191,Fifth Third Bancorp,FITB,NMS,13.3,5,1.55,0,3.1,5,O,5,15,5,28.2,0,O,7,,,,,,,27,=SUM(S192:X192),=Y192+Z192,
192,"MetLife, Inc.",MET,NYQ,14.6,5,1.74,0,3.0,5,O,5,13,5,44.9,0,O,7,,,,,,,27,=SUM(S193:X193),=Y193+Z193,
193,Hormel Foods Corporation,HRL,NYQ,23.8,5,1.47,0,5.5,7,O,5,24,5,0.0,5,X,0,,,,,,,27,=SUM(S194:X194),=Y194+Z194,
